"Id","Name","Description","AlertingPolicy","Priority","FullProtectionSlaTimeMins","IsActive","PolicyName","PolicyDaysToKeep","PolicyDescription","LastBackupRunStatus","LastBackupRunName","LastBackupStartTime","LastBackupEndTime","LastBackupElapsedTime","LastBackupTotalSourceSizeGB","LastBackupTotalLogicalBackupSizeGB","LastCopyRunStatus","LastCopyRunName","LastCopyStartTime","LastCopyEndTime","LastCopyElapsedTime","LastCopyLogicalGBTransferred","LastCopyTotalLogicalSizeGB","TotalLogicalBackupSizeGB","SummaryAverageRuntime","SummaryFastestRunTime","SummarySlowestRunTime","SummaryNumSuccessfulRuns","SummaryTotalLogicalBackupSizeGB"
"181225","nas_unity600_fs005",,"KFailure","KMedium","480",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs005","3/12/2020 10:00:01 PM","3/13/2020 12:15:23 AM","02:15:22","0","13467.93","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"13467.93","02:15:21","02:15:21","02:15:21","1","13467.93"
"181252","nas_unity600_fs008",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs008","3/12/2020 9:38:00 PM","3/12/2020 9:39:45 PM","00:01:45","0","59.23","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"59.23","00:01:45","00:01:45","00:01:45","1","59.23"
"181279","nas_unity600_fs009",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs009","3/12/2020 10:39:00 PM","3/12/2020 10:39:46 PM","00:00:46","0","50.44","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"50.44","00:00:46","00:00:46","00:00:46","1","50.44"
"181418","nas_unity600_fs010",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs010","3/12/2020 6:00:01 PM","3/13/2020 2:09:32 AM","08:09:31","0","27200.73","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"27200.73","08:09:31","08:09:31","08:09:31","1","27200.73"
"181445","nas_unity600_fs011_snapshot",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs011","3/13/2020 3:45:01 AM","3/13/2020 3:47:46 AM","00:02:45","0","41.49","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"41.49","00:02:45","00:02:45","00:02:45","1","41.49"
"181472","nas_unity600_fs012",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs012","3/12/2020 11:46:00 PM","3/12/2020 11:46:39 PM","00:00:39","0","5.16","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"5.16","00:00:39","00:00:39","00:00:39","1","5.16"
"181499","nas_unity600_fs014",,"KFailure","KMedium","720",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs014","3/12/2020 9:47:00 PM","3/12/2020 9:47:08 PM","00:00:08","0","0.62","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"0.62","00:00:08","00:00:08","00:00:08","1","0.62"
"181513","nas_unity600_fs015",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs015","3/13/2020 1:48:00 AM","3/13/2020 2:07:48 AM","00:19:48","0","126.63","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"126.63","00:19:48","00:19:48","00:19:48","1","126.63"
"189007","nas_unity600_fs025",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs025","3/13/2020 3:36:01 AM","3/13/2020 4:15:56 AM","00:39:55","0","4053.83","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"4053.83","00:39:55","00:39:55","00:39:55","1","4053.83"
"189034","nas_unity600_fs026",,"KFailure","KMedium","420",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs026","3/13/2020 3:37:00 AM","3/13/2020 3:48:13 AM","00:11:13","0","169.5","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"169.5","00:11:13","00:11:13","00:11:13","1","169.5"
"189063","nas_unity600_fs027",,"KFailure","KMedium","720",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs027","3/12/2020 6:39:01 PM","3/12/2020 6:54:16 PM","00:15:15","0","0","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"0","00:15:15","00:15:15","00:15:15","1","0"
"189090","nas_unity600_fs028",,"KFailure","KMedium","120",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-b-01\fs028","3/12/2020 11:40:01 PM","3/12/2020 11:40:15 PM","00:00:14","0","0","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"0","00:00:14","00:00:14","00:00:14","1","0"
"189121","nas_unity600_fs051",,"KFailure","KMedium","600",,"nas_unity600_prod","45",,"KSuccess","\\nas0641-a-01\fs051","3/12/2020 8:00:01 PM","3/13/2020 1:06:27 AM","05:06:26","0","5784.87","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"5784.87","05:06:26","05:06:26","05:06:26","1","5784.87"
"257486","dd_nfs_MarkLogic_Prod",,"KFailure","KMedium","120",,"dd_share_prod_no_repl","45",,,"\\nas0641-a-01\fs051","3/12/2020 8:00:01 PM","3/13/2020 1:06:27 AM","05:06:26","0","5784.87","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"5784.87","05:06:26","05:06:26","05:06:26",,"5784.87"
"257505","dd_nfs_MarkLogic_Dev",,"KFailure","KMedium","120",,"dd_share_prod","45",,,"\\nas0641-a-01\fs051","3/12/2020 8:00:01 PM","3/13/2020 1:06:27 AM","05:06:26","0","5784.87","KSuccess",,"3/13/2020 1:00:07 AM",,,,,"5784.87","05:06:26","05:06:26","05:06:26",,"5784.87"
